,gene_id,Gene names,type
2322,ENSMUSG00000024059,Clip4 Rsnl2,nucleus
2323,ENSMUSG00000024063,Lbh,nucleus
2324,ENSMUSG00000024064,Galnt14,integral membrane
2325,ENSMUSG00000024065,Ehd3 Ehd2,cytoplasm
2326,ENSMUSG00000024067,Dpy30,nucleus
2327,ENSMUSG00000024068,Spast Kiaa1083 Spg4,integral membrane
2328,ENSMUSG00000024069,Slc30a6 Znt6,integral membrane
2329,ENSMUSG00000024072,Yipf4,integral membrane
2330,ENSMUSG00000024073,Birc6 Kiaa1289,nucleus
2331,ENSMUSG00000024074,Crim1,integral membrane
2332,ENSMUSG00000024077,Strn,cytoplasm
2333,ENSMUSG00000024079,Eif2ak2 Pkr Prkr Tik,nucleus
2334,ENSMUSG00000024083,Pja2 Kiaa0438 Rnf131,cytoplasm
2335,ENSMUSG00000024085,Man2a1 Mana2,integral membrane
2336,ENSMUSG00000024087,Cyp1b1 Cyp1-b1,nucleus
2337,ENSMUSG00000024091,Vapa Vap33,integral membrane
2338,ENSMUSG00000024095,Hnrnpll Hnrpll,nucleus
2339,ENSMUSG00000024097,Srsf7 Sfrs7,cytoplasm
2340,ENSMUSG00000024105,Themis3,nucleus
2341,ENSMUSG00000024107,Lhcgr Lhr,nucleus
2342,ENSMUSG00000024118,Tedc2,cytoplasm
2343,ENSMUSG00000024120,Lrpprc Lrp130,nucleus
2344,ENSMUSG00000024121,Atp6v0c Atp6c Atp6l Atpl Mvp,integral membrane
2345,ENSMUSG00000024122,Pdpk1 Pdk1,nucleus
2346,ENSMUSG00000024127,Prepl Kiaa0436,nucleus
2347,ENSMUSG00000024130,Abca3,integral membrane
2348,ENSMUSG00000024134,Six2,nucleus
2349,ENSMUSG00000024136,Dnase1l2,nucleus
2350,ENSMUSG00000024137,E4f1,nucleus
2351,ENSMUSG00000024140,Epas1 Hif2a,nucleus
2352,ENSMUSG00000024142,Mlst8 Gbl Lst8,cytoplasm
2353,ENSMUSG00000024143,Rhoq Arhq Tc10,cytoplasm
2354,ENSMUSG00000024145,Pigf,integral membrane
2355,ENSMUSG00000024146,Cript,cytoplasm
2356,ENSMUSG00000024151,Msh2,nucleus
2357,ENSMUSG00000024154,Gtf2a1l Alf Gtf2a1lf,nucleus
2358,ENSMUSG00000024155,Meiob,nucleus
2359,ENSMUSG00000024163,Mapk8ip3 Jip3 Jsap1 Syd2,cytoplasm
2360,ENSMUSG00000024165,Jpt2 D17Ertd441e Hn1l,nucleus
2361,ENSMUSG00000024168,Tmem204 Clp24,integral membrane
2362,ENSMUSG00000024170,Telo2 Kiaa0683,nucleus
2363,ENSMUSG00000024172,St6gal2 Kiaa1877,integral membrane
2364,ENSMUSG00000024176,Sox8 Sox-8,nucleus
2365,ENSMUSG00000024187,Fam234a Itfg3,integral membrane
2366,ENSMUSG00000024188,Luc7l,nucleus
2367,ENSMUSG00000024190,Dusp1 3ch134 Mkp1 Ptpn10 Ptpn16,nucleus
2368,ENSMUSG00000024191,Bnip1 Sec20 Sec20l,integral membrane
2369,ENSMUSG00000024193,Phf1 Plc1 Tctex-3 Tctex3,nucleus
2370,ENSMUSG00000024201,Kdm4b Jhdm3b Jmjd2b,nucleus
2371,ENSMUSG00000024206,Rfx2,nucleus
2372,ENSMUSG00000024207,Acsbg2 Bgr,cytoplasm
2373,ENSMUSG00000024210,Ip6k3 Ihpk3,nucleus
2374,ENSMUSG00000024213,Nudt3 Dipp Dipp1,nucleus
2375,ENSMUSG00000024215,Spdef Pdef Pse,nucleus
2376,ENSMUSG00000024217,Snrpc Snrp1c,nucleus
2377,ENSMUSG00000024218,Taf11,nucleus
2378,ENSMUSG00000024220,Znf76 Zfp523,nucleus
2379,ENSMUSG00000024222,Fkbp5 Fkbp51,cytoplasm
2380,ENSMUSG00000024228,Nudt12,nucleus
2381,ENSMUSG00000024232,Bambi Nma,integral membrane
2382,ENSMUSG00000024234,Mtpap Papd1,cytoplasm
2383,ENSMUSG00000024236,Svil,nucleus
2384,ENSMUSG00000024238,Zeb1 Tcf8 Zfhx1a Zfx1a Zfx1ha,nucleus
2385,ENSMUSG00000024240,Epc1,nucleus
2386,ENSMUSG00000024241,Sos1,cytoplasm
2387,ENSMUSG00000024245,Tmem178a Tmem178,integral membrane
2388,ENSMUSG00000024253,Dync2li1 D2lic,cytoplasm
2389,ENSMUSG00000024258,Polr2d,nucleus
2390,ENSMUSG00000024259,Slc25a46,integral membrane
2391,ENSMUSG00000024261,Syt4 Syt3,integral membrane
2392,ENSMUSG00000024268,Celf4 Brul4 Brunol4,nucleus
2393,ENSMUSG00000024286,Ccny Cfp1,nucleus
2394,ENSMUSG00000024287,Thoc1 Hpr1,nucleus
2395,ENSMUSG00000024290,Rock1,cytoplasm
2396,ENSMUSG00000024293,Esco1 Kiaa1911,nucleus
2397,ENSMUSG00000024294,Mib1 Dip1 Kiaa1323 Mib,cytoplasm
2398,ENSMUSG00000024302,Dtna Dtn,cytoplasm
2399,ENSMUSG00000024304,Cdh2,cytoplasm
2400,ENSMUSG00000024309,Pfdn6 H2-Ke2 Pfd6,nucleus
2401,ENSMUSG00000024325,Ring1 Ring1A Rnf1,nucleus
2402,ENSMUSG00000024327,Slc39a7 H2-Ke4 Hke4,integral membrane
2403,ENSMUSG00000024331,Dsc2 Dsc3,integral membrane
2404,ENSMUSG00000024335,Brd2 Fsrg1 Kiaa4005 Ring3,nucleus
2405,ENSMUSG00000024338,Psmb8 Lmp7 Mc13,nucleus
2406,ENSMUSG00000024339,Tap2 Abcb3 Ham-2 Ham2,integral membrane
2407,ENSMUSG00000024340,Btnl2 Gm315 Ng9,integral membrane
2408,ENSMUSG00000024347,Psd2 Efa6c,integral membrane
2409,ENSMUSG00000024349,Sting1 Eris Mita Mpys Tmem173,cytoplasm
2410,ENSMUSG00000024350,Dnajc18,integral membrane
2411,ENSMUSG00000024352,Spata24 Tipt Tipt2,nucleus
2412,ENSMUSG00000024353,Mzb1 Pacap,cytoplasm
2413,ENSMUSG00000024354,Slc23a1 Svct1 Yspl3,integral membrane
2414,ENSMUSG00000024359,Hspa9 Grp75 Hsp74 Hspa9a,cytoplasm
2415,ENSMUSG00000024360,Etf1,cytoplasm
2416,ENSMUSG00000024376,Epb41l4a Epb4.1l4 Epb4.1l4a Epb41l4,cytoplasm
2417,ENSMUSG00000024381,Bin1 Amphl Sh3p9,nucleus
2418,ENSMUSG00000024382,Ercc3 Xpb Xpbc,nucleus
2419,ENSMUSG00000024384,Iws1 Iws1l,nucleus
2420,ENSMUSG00000024387,Csnk2b Ck2n,nucleus
2421,ENSMUSG00000024388,Myo7b,cytoplasm
2422,ENSMUSG00000024392,Bag6 Bat3,nucleus
2423,ENSMUSG00000024395,Lims2 Pinch2,cytoplasm
2424,ENSMUSG00000024397,Aif1 Iba1,nucleus
2425,ENSMUSG00000024399,Ltb Tnfc Tnfsf3,integral membrane
2426,ENSMUSG00000024400,Wdr33 Wdc146,nucleus
2427,ENSMUSG00000024401,Tnf Tnfa Tnfsf2,cytoplasm
2428,ENSMUSG00000024406,Pou5f1 Oct-3 Oct-4 Otf-3 Otf3,nucleus
2429,ENSMUSG00000024411,Aqp4,integral membrane
2430,ENSMUSG00000024420,Znf521 Evi3 Zfp521,nucleus
2431,ENSMUSG00000024425,Ndfip1 N4wbp5,integral membrane
2432,ENSMUSG00000024427,Spry4,cytoplasm
2433,ENSMUSG00000024430,Cabyr Cbp86,cytoplasm
2434,ENSMUSG00000024451,Arap3 Centd3 Drag1 Kiaa4097,cytoplasm
2435,ENSMUSG00000024456,Diaph1 Diap1,nucleus
2436,ENSMUSG00000024457,Trim26 Znf173,nucleus
2437,ENSMUSG00000024462,Gabbr1,cytoplasm
2438,ENSMUSG00000024472,Dcp2,cytoplasm
2439,ENSMUSG00000024474,Ik Red Rer,nucleus
2440,ENSMUSG00000024479,Mal2,integral membrane
2441,ENSMUSG00000024487,Yipf5 Yip1a,integral membrane
2442,ENSMUSG00000024491,Rbm27 Kiaa1311,nucleus
2443,ENSMUSG00000024493,Lars1 Lars,cytoplasm
2444,ENSMUSG00000024497,Pou4f3 Brn-3.1 Brn-3c Brn3c,nucleus
2445,ENSMUSG00000024498,Tcerg1 Taf2s,nucleus
2446,ENSMUSG00000024500,Ppp2r2b,cytoplasm
2447,ENSMUSG00000024505,Dtwd2,nucleus
2448,ENSMUSG00000024510,Ftmt,cytoplasm
2449,ENSMUSG00000024513,Mbd2,nucleus
2450,ENSMUSG00000024515,Smad4 Dpc4 Madh4,nucleus
2451,ENSMUSG00000024516,Sec11c Sec11l3 Spc21,integral membrane
2452,ENSMUSG00000024518,Rax Rx,nucleus
2453,ENSMUSG00000024525,Impa2,cytoplasm
2454,ENSMUSG00000024526,Cidea,nucleus
2455,ENSMUSG00000024528,Srfbp1,nucleus
2456,ENSMUSG00000024529,Lox Rrg,nucleus
2457,ENSMUSG00000024537,Psmg2 Clast3 Tnfsf5ip1,nucleus
2458,ENSMUSG00000024538,Ppic Cypc,cytoplasm
2459,ENSMUSG00000024539,Ptpn2 Ptpt,nucleus
2460,ENSMUSG00000024544,Ldlrad4 D18Ertd653e,integral membrane
2461,ENSMUSG00000024548,Setbp1 Kiaa0437,nucleus
2462,ENSMUSG00000024558,Mapk4 Erk4 Prkm4,nucleus
2463,ENSMUSG00000024560,Cxxc1 Cgbp Pccx1,nucleus
2464,ENSMUSG00000024563,Smad2 Madh2 Madr2,nucleus
2465,ENSMUSG00000024565,Sall3 Sal,nucleus
2466,ENSMUSG00000024576,Csnk1a1,nucleus
2467,ENSMUSG00000024583,Txnl1 Trp32 Txnl,nucleus
2468,ENSMUSG00000024589,Nedd4l Kiaa0439 Nedd4b,cytoplasm
2469,ENSMUSG00000024590,Lmnb1,nucleus
2470,ENSMUSG00000024593,Megf10,integral membrane
2471,ENSMUSG00000024594,Prrc1,cytoplasm
2472,ENSMUSG00000024600,Slc27a6 Acsvl2 Facvl2 Fatp1,integral membrane
2473,ENSMUSG00000024601,Isoc1,cytoplasm
2474,ENSMUSG00000024604,Rbm22,nucleus
2475,ENSMUSG00000024610,Cd74 Ii,integral membrane
2476,ENSMUSG00000024614,Tmx3 Kiaa1830 Txndc10,integral membrane
2477,ENSMUSG00000024617,Camk2a,nucleus
2478,ENSMUSG00000024619,Cdx1 Cdx-1,nucleus
2479,ENSMUSG00000024620,Pdgfrb Pdgfr Pdgfr1,nucleus
2480,ENSMUSG00000024640,Psat1 Psa Psat,cytoplasm
2481,ENSMUSG00000024642,Tle4 Grg4,nucleus
2482,ENSMUSG00000024645,Timm21 Tim21,integral membrane
2483,ENSMUSG00000024646,Cyb5a Cyb5,integral membrane
2484,ENSMUSG00000024653,Scgb1a1 Cc10 Ugb Utg,cytoplasm
2485,ENSMUSG00000024654,Asrgl1,cytoplasm
2486,ENSMUSG00000024659,Anxa1 Anx1 Lpc-1 Lpc1,nucleus
2487,ENSMUSG00000024660,Incenp,nucleus
2488,ENSMUSG00000024661,Fth1 Fth,cytoplasm
2489,ENSMUSG00000024664,Fads3 MNCb-0629,integral membrane
2490,ENSMUSG00000024665,Fads2 Fadsd2,integral membrane
2491,ENSMUSG00000024666,Tmem138,integral membrane
2492,ENSMUSG00000024667,Tmem216,integral membrane
2493,ENSMUSG00000024677,Ms4a6b,integral membrane
2494,ENSMUSG00000024678,Ms4a4d,integral membrane
2495,ENSMUSG00000024681,Ms4a3 Htm4,integral membrane
2496,ENSMUSG00000024687,Osbp Kiaa4220,cytoplasm
2497,ENSMUSG00000024691,Fam111a,nucleus
2498,ENSMUSG00000024695,Zfp91 Pzf,nucleus
2499,ENSMUSG00000024696,Lpxn,nucleus
2500,ENSMUSG00000024725,Ostf1 Sh3d3 Sh3p2,cytoplasm
2501,ENSMUSG00000024726,Carnmt1,nucleus
2502,ENSMUSG00000024730,Ms4a8 Cd20l5 Ms4a8a,integral membrane
2503,ENSMUSG00000024731,Ms4a10,integral membrane
2504,ENSMUSG00000024732,Ccdc86 Cyclon D19Ertd678e MNCb-4327,nucleus
2505,ENSMUSG00000024734,Zp1,integral membrane
2506,ENSMUSG00000024735,Prpf19 Prp19 Snev,nucleus
2507,ENSMUSG00000024736,Tmem132a Kiaa1583,integral membrane
2508,ENSMUSG00000024737,Slc15a3 Ci1 Pht2,integral membrane
2509,ENSMUSG00000024740,Ddb1,nucleus
2510,ENSMUSG00000024743,Syt7,integral membrane
2511,ENSMUSG00000024747,Aldh1a7 Aldh-pb,cytoplasm
2512,ENSMUSG00000024750,Zfand5 Za20d2 Zfp216 Znf216,cytoplasm
2513,ENSMUSG00000024757,Slc22a19 Oat5 Slc22a9,integral membrane
2514,ENSMUSG00000024758,Rtn3,integral membrane
2515,ENSMUSG00000024759,Atl3,integral membrane
2516,ENSMUSG00000024764,Naa40 Nat11 Patt1,nucleus
2517,ENSMUSG00000024767,Otub1,nucleus
2518,ENSMUSG00000024769,Cdc42bpg,cytoplasm
2519,ENSMUSG00000024777,Ppp2r5b,nucleus
2520,ENSMUSG00000024778,Fas Apt1 Tnfrsf6,integral membrane
2521,ENSMUSG00000024780,Cdc37l1,cytoplasm
2522,ENSMUSG00000024782,Ak3 Ak3l Ak3l1 Akl3l,cytoplasm
2523,ENSMUSG00000024791,Cdca5,nucleus
2524,ENSMUSG00000024792,Zfpl1,integral membrane
2525,ENSMUSG00000024795,Kif20b Mphosph1,nucleus
2526,ENSMUSG00000024803,Ankrd1 Carp,nucleus
2527,ENSMUSG00000024805,Pcgf5 Rnf159,nucleus
2528,ENSMUSG00000024810,Il33,nucleus
2529,ENSMUSG00000024811,Tnks2 Tank2,nucleus
2530,ENSMUSG00000024812,Tjp2 Zo2,nucleus
2531,ENSMUSG00000024817,Uhrf2 Nirf,nucleus
2532,ENSMUSG00000024818,Slc25a45,integral membrane
2533,ENSMUSG00000024824,Rad9a Rad9,nucleus
2534,ENSMUSG00000024826,Dpf2 Baf45d Req Ubid4,nucleus
2535,ENSMUSG00000024830,Rps6kb2,nucleus
2536,ENSMUSG00000024833,Pola2,nucleus
2537,ENSMUSG00000024835,Coro1b,cytoplasm
2538,ENSMUSG00000024837,Dmrt1,nucleus
2539,ENSMUSG00000024841,Eif1ad,nucleus
2540,ENSMUSG00000024843,Chka Chk,cytoplasm
2541,ENSMUSG00000024844,Banf1 Baf Bcrp1 L2bp1,nucleus
2542,ENSMUSG00000024845,Tmem134,integral membrane
2543,ENSMUSG00000024851,Pitpnm1 Dres9 Mpt1 Nir2 Pitpnm,cytoplasm
2544,ENSMUSG00000024854,Pold4,nucleus
2545,ENSMUSG00000024856,Cdk2ap2 D19Ertd144e Doc1r,nucleus
2546,ENSMUSG00000024858,Grk2 Adrbk1,nucleus
2547,ENSMUSG00000024866,Acy3 Aspa2,cytoplasm
2548,ENSMUSG00000024878,Cbwd1,cytoplasm
2549,ENSMUSG00000024883,Rin1,cytoplasm
2550,ENSMUSG00000024885,Aldh3b1 Aldh7,cytoplasm
2551,ENSMUSG00000024891,Slc29a2 Der12 Ent2 Hnp36,integral membrane
2552,ENSMUSG00000024897,Apba1 Mint1 mLin-10 X11,nucleus
2553,ENSMUSG00000024900,Cpt1a Cpt-1 Cpt1,integral membrane
2554,ENSMUSG00000024905,Tesmin Mtl5,nucleus
2555,ENSMUSG00000024906,Mus81,nucleus
2556,ENSMUSG00000024907,Gal Galn,cytoplasm
2557,ENSMUSG00000024908,Ppp6r3 D19Ertd703e Kiaa1558 Pp6r3 Saps3,nucleus
2558,ENSMUSG00000024911,Fibp,nucleus
2559,ENSMUSG00000024912,Fosl1 Fra1,nucleus
2560,ENSMUSG00000024913,Lrp5 Lr3 Lrp7,integral membrane
2561,ENSMUSG00000024914,Drap1,nucleus
2562,ENSMUSG00000024922,Ovol1,nucleus
2563,ENSMUSG00000024924,Vldlr,integral membrane
2564,ENSMUSG00000024925,Rnaseh2c Ayp1,nucleus
2565,ENSMUSG00000024926,Kat5 Htatip Tip60,nucleus
2566,ENSMUSG00000024927,Rela Nfkb3,nucleus
2567,ENSMUSG00000024935,Slc1a1 Eaac1 Eaat3,cytoplasm
2568,ENSMUSG00000024939,Fam89b C184m Lrap25 Mtvr2,cytoplasm
2569,ENSMUSG00000024941,Scyl1,cytoplasm
2570,ENSMUSG00000024942,Capn1 Canp1 Capa1,cytoplasm
2571,ENSMUSG00000024943,Smc5 Kiaa0594 Smc5l1,nucleus
2572,ENSMUSG00000024944,Arl2,nucleus
2573,ENSMUSG00000024947,Men1,nucleus
2574,ENSMUSG00000024949,Sf1 Zfm1 Zfp162,nucleus
2575,ENSMUSG00000024953,Prdx5 Prdx6,nucleus
2576,ENSMUSG00000024955,Esrra Err1 Estrra Nr3b1,nucleus
2577,ENSMUSG00000024958,Gpr137 Tm7sf1l1,integral membrane
2578,ENSMUSG00000024959,Bad Bbc6,cytoplasm
2579,ENSMUSG00000024960,Plcb3,nucleus
2580,ENSMUSG00000024963,Dnajc4 Mcg18,integral membrane
2581,ENSMUSG00000024966,Stip1,nucleus
2582,ENSMUSG00000024968,Rcor2,nucleus
2583,ENSMUSG00000024972,Lgals12,nucleus
2584,ENSMUSG00000024973,Plaat5 Hrasls5 Hrlp5,cytoplasm
2585,ENSMUSG00000024974,Smc3 Bam Bmh Cspg6 Mmip1 Smc3l1 Smcd,nucleus
2586,ENSMUSG00000024975,Pdcd4 Ma3 Tis,nucleus
2587,ENSMUSG00000024976,Shoc2,nucleus
2588,ENSMUSG00000024978,Gpam Gpat1,integral membrane
2589,ENSMUSG00000024981,Acsl5 Facl5,integral membrane
2590,ENSMUSG00000024982,Zdhhc6,integral membrane
2591,ENSMUSG00000024983,Vti1a Vti1 Vti1l2,integral membrane
2592,ENSMUSG00000024985,Tcf7l2 Tcf4,nucleus
2593,ENSMUSG00000024986,Hhex Prh Prhx,nucleus
2594,ENSMUSG00000024989,Cep55,cytoplasm
2595,ENSMUSG00000024991,Eif3a Csma Eif3 Eif3s10,nucleus
2596,ENSMUSG00000024997,Prdx3 Aop1 Mer5,cytoplasm
2597,ENSMUSG00000024998,Plce1 Kiaa1516 Plce,cytoplasm
2598,ENSMUSG00000025001,Hells Lsh Pasg,nucleus
2599,ENSMUSG00000025002,Cyp2c55 Cyp2c-55,cytoplasm
2600,ENSMUSG00000025003,Cyp2c39,cytoplasm
2601,ENSMUSG00000025004,Cyp2c40,cytoplasm
2602,ENSMUSG00000025008,Tctn3 Tect3,integral membrane
2603,ENSMUSG00000025010,Ccnj,nucleus
2604,ENSMUSG00000025014,Dntt Tdt,nucleus
2605,ENSMUSG00000025016,Tm9sf3 Smbp,integral membrane
2606,ENSMUSG00000025017,Pik3ap1 Bcap,cytoplasm
2607,ENSMUSG00000025019,Lcor Kiaa1795 Mlr2,nucleus
2608,ENSMUSG00000025024,Smndc1 Smnr Spf30,nucleus
2609,ENSMUSG00000025025,Mxi1,nucleus
2610,ENSMUSG00000025026,Add3 Addl,cytoplasm
2611,ENSMUSG00000025027,Xpnpep1,cytoplasm
2612,ENSMUSG00000025034,Trim8 Gerp Rnf27,nucleus
2613,ENSMUSG00000025035,Arl3,nucleus
2614,ENSMUSG00000025037,Maoa,integral membrane
2615,ENSMUSG00000025043,Dusp21,nucleus
2616,ENSMUSG00000025044,Msr1 Scvr,integral membrane
2617,ENSMUSG00000025047,Pdcd11 Alg4 Kiaa0185,nucleus
2618,ENSMUSG00000025050,Pcgf6 Mblr Rnf134,nucleus
2619,ENSMUSG00000025056,Nr0b1 Ahch Dax1,nucleus
2620,ENSMUSG00000025058,Tasl,nucleus
2621,ENSMUSG00000025059,Gk Gyk,nucleus
2622,ENSMUSG00000025060,Slk Kiaa0204 Stk2,cytoplasm
2623,ENSMUSG00000025064,Col17a1 Bp180 Bpag2,integral membrane
2624,ENSMUSG00000025066,Sfr1 Mei5 Meir5,nucleus
2625,ENSMUSG00000025068,Gsto1 Gstx Gtsttl,cytoplasm
2626,ENSMUSG00000025069,Gsto2,cytoplasm
2627,ENSMUSG00000025076,Casp7 Lice2 Mch3,nucleus
2628,ENSMUSG00000025081,Tdrd1,cytoplasm
2629,ENSMUSG00000025083,Afap1l2 Kiaa1914,cytoplasm
2630,ENSMUSG00000025085,Ablim1 Ablim Kiaa0059,cytoplasm
2631,ENSMUSG00000025086,Trub1,nucleus
2632,ENSMUSG00000025090,Ccdc172 Tekt2bp1,cytoplasm
2633,ENSMUSG00000025092,Hspa12a Kiaa0417,nucleus
2634,ENSMUSG00000025094,Slc18a2 Vmat2,cytoplasm
2635,ENSMUSG00000025102,,cytoplasm
2636,ENSMUSG00000025104,Hdgfl3 Hdgfrp3,nucleus
2637,ENSMUSG00000025132,Arhgdia C87222 Gdi1,nucleus
2638,ENSMUSG00000025133,Ints4,nucleus
2639,ENSMUSG00000025134,Alyref Aly Ref1 Refbp1 THOC4,nucleus
2640,ENSMUSG00000025135,Anapc11,nucleus
2641,ENSMUSG00000025138,Sirt7 Sir2l7,nucleus
2642,ENSMUSG00000025139,Tollip,cytoplasm
2643,ENSMUSG00000025141,Myadml2,integral membrane
2644,ENSMUSG00000025147,Mob2 Mmh,cytoplasm
2645,ENSMUSG00000025151,Maged1 Nrage,nucleus
2646,ENSMUSG00000025153,Fasn,cytoplasm
2647,ENSMUSG00000025154,Arhgap19,cytoplasm
2648,ENSMUSG00000025157,Zdhhc16 Aph2,integral membrane
2649,ENSMUSG00000025159,Mms19 Mms19l,nucleus
2650,ENSMUSG00000025161,Slc16a3 Mct4,integral membrane
2651,ENSMUSG00000025162,Csnk1d Hckid,nucleus
2652,ENSMUSG00000025163,Cd7,integral membrane
2653,ENSMUSG00000025169,Ogfod3,integral membrane
2654,ENSMUSG00000025172,Ankrd2 Arpp,nucleus
2655,ENSMUSG00000025189,Cnnm1 Acdp1,integral membrane
2656,ENSMUSG00000025190,Got1,cytoplasm
2657,ENSMUSG00000025192,Entpd7 Kiaa4066 Lalp1,integral membrane
2658,ENSMUSG00000025193,Cutc,nucleus
2659,ENSMUSG00000025197,Cyp2c23 Cyp2c44,cytoplasm
2660,ENSMUSG00000025198,Erlin1 Keo4 Spfh1,integral membrane
2661,ENSMUSG00000025204,Ndufb8,integral membrane
2662,ENSMUSG00000025216,Lbx1 Lbx1h,nucleus
2663,ENSMUSG00000025217,Btrc Fbw1 Fbxw1 Fwd1 Kiaa4123,nucleus
2664,ENSMUSG00000025218,Poll Polk,nucleus
2665,ENSMUSG00000025219,Fgf8 Aigf,cytoplasm
2666,ENSMUSG00000025220,Oga Hexc Kiaa0679 Mgea5,nucleus
2667,ENSMUSG00000025221,Kcnip2 Kchip2,cytoplasm
2668,ENSMUSG00000025223,Ldb1 Nli,nucleus
2669,ENSMUSG00000025225,Nfkb2,nucleus
2670,ENSMUSG00000025226,Fbxl15 Fbxo37,cytoplasm
2671,ENSMUSG00000025227,Mfsd13a Tmem180,integral membrane
2672,ENSMUSG00000025228,Actr1a Ctrn1,cytoplasm
2673,ENSMUSG00000025229,Pitx3,nucleus
2674,ENSMUSG00000025231,Sufu,nucleus
2675,ENSMUSG00000025234,Arih1 Ari Ubch7bp Uip77,nucleus
2676,ENSMUSG00000025235,Bbs4,nucleus
2677,ENSMUSG00000025239,Limd1,nucleus
2678,ENSMUSG00000025245,Lztfl1,cytoplasm
2679,ENSMUSG00000025246,Tbl1x Tbl1,nucleus
2680,ENSMUSG00000025261,Huwe1 Kiaa0312 Ureb1,nucleus
2681,ENSMUSG00000025262,Fam120c ORF34,nucleus
2682,ENSMUSG00000025265,Fgd1,cytoplasm
2683,ENSMUSG00000025269,Apex2 Ape2,nucleus
2684,ENSMUSG00000025277,Abhd6,integral membrane
2685,ENSMUSG00000025278,Flnb,nucleus
2686,ENSMUSG00000025279,Dnase1l3,nucleus
2687,ENSMUSG00000025289,Prdx4,cytoplasm
2688,ENSMUSG00000025316,Banp Smar1,nucleus
2689,ENSMUSG00000025317,Ca5a Ca5 Car5 Car5a,cytoplasm
2690,ENSMUSG00000025318,Jph3 Jp3,integral membrane
2691,ENSMUSG00000025326,Ube3a,nucleus
2692,ENSMUSG00000025328,Padi3 Pad3 Pdi3,nucleus
2693,ENSMUSG00000025329,Padi1 Pad1 Pdi1,nucleus
2694,ENSMUSG00000025330,Padi4 Pad4 Pdi4,nucleus
2695,ENSMUSG00000025332,Kdm5c Jarid1c Kiaa0234 Smcx Xe169,nucleus
2696,ENSMUSG00000025333,Gpr143 Oa1,integral membrane
2697,ENSMUSG00000025337,Sbds,nucleus
2698,ENSMUSG00000025350,Rdh5 cRDH rdh Rdh4,integral membrane
2699,ENSMUSG00000025351,Cd63,cytoplasm
2700,ENSMUSG00000025353,Ormdl2,integral membrane
2701,ENSMUSG00000025354,Dnajc14,integral membrane
2702,ENSMUSG00000025358,Cdk2 Cdkn2,nucleus
2703,ENSMUSG00000025364,Pa2g4 Ebp1 Plfap,nucleus
2704,ENSMUSG00000025374,Nabp2 Obfc2b Ssb1,nucleus
2705,ENSMUSG00000025377,Tepsin Enthd2,cytoplasm
2706,ENSMUSG00000025380,Fscn2,cytoplasm
2707,ENSMUSG00000025389,Mip Palm,integral membrane
2708,ENSMUSG00000025401,Myo1a Bbmi Myhl,cytoplasm
2709,ENSMUSG00000025402,Nab2,nucleus
2710,ENSMUSG00000025403,Shmt2,nucleus
2711,ENSMUSG00000025404,R3hdm2 Kiaa1002,nucleus
2712,ENSMUSG00000025407,Gli1 Gli,nucleus
2713,ENSMUSG00000025408,Ddit3 Chop Chop10 Gadd153,nucleus
2714,ENSMUSG00000025409,Mbd6,nucleus
2715,ENSMUSG00000025410,Dctn2,cytoplasm
2716,ENSMUSG00000025413,Ttc4,nucleus
2717,ENSMUSG00000025418,Bsnd,integral membrane
2718,ENSMUSG00000025420,Katnal2,nucleus
2719,ENSMUSG00000025422,Agap2 Centg1 Kiaa0167,nucleus
2720,ENSMUSG00000025423,Pias2 Miz1 Piasx,nucleus
2721,ENSMUSG00000025425,St8sia5 Siat8e St8siav,integral membrane
2722,ENSMUSG00000025427,Rnf165 Ark2c Gm96,nucleus
2723,ENSMUSG00000025428,Atp5f1a Atp5a1,nucleus
2724,ENSMUSG00000025429,Pstpip2 Mayp,cytoplasm
2725,ENSMUSG00000025432,Avil Advil,cytoplasm
2726,ENSMUSG00000025437,Usp33 Vdu1,cytoplasm
2727,ENSMUSG00000025451,Paip1,cytoplasm
2728,ENSMUSG00000025468,Caly Drd1ip,integral membrane
2729,ENSMUSG00000025469,Msx3 Msx-3,nucleus
2730,ENSMUSG00000025470,Znf511 Zfp511,nucleus
2731,ENSMUSG00000025473,Adam8 Ms2,cytoplasm
2732,ENSMUSG00000025474,Tubgcp2 Gcp2,cytoplasm
2733,ENSMUSG00000025475,Adgra1 Gpr123,integral membrane
2734,ENSMUSG00000025479,Cyp2e1 Cyp2e Cyp2e-1,cytoplasm
2735,ENSMUSG00000025482,Odf3 Shippo1 Beta390,cytoplasm
2736,ENSMUSG00000025485,Ric8a Ric8,cytoplasm
2737,ENSMUSG00000025486,Sirt3 Sir2l3,nucleus
2738,ENSMUSG00000025487,Psmd13,nucleus
2739,ENSMUSG00000025488,Cox8b Cox8h,integral membrane
2740,ENSMUSG00000025489,Ifitm5 Bril Fragilis4,integral membrane
2741,ENSMUSG00000025491,Ifitm1,integral membrane
2742,ENSMUSG00000025492,Ifitm3,integral membrane
2743,ENSMUSG00000025494,Sigirr Tir8,integral membrane
2744,ENSMUSG00000025495,Ptdss2 Pss2,integral membrane
2745,ENSMUSG00000025496,Drd4,cytoplasm
2746,ENSMUSG00000025498,Irf7,nucleus
2747,ENSMUSG00000025505,Tmem80,integral membrane
2748,ENSMUSG00000025507,Pidd1 Lrdd Pidd,nucleus
2749,ENSMUSG00000025509,Pnpla2 Atgl,integral membrane
